"segment","section","dashboard_name","match_status","score","picked","entity","scenario","view","account","flow","origin","cons","ud1","ud2","ud3","ud4","ud5","ud6","ud7","ud8","candidate_count"
"th-cus","kpi","SST","MATCHED","120","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","ReportedSystemCompTrafficCY","Top","Top","Aggregated","Top","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","42"
"th-cus","kpi","SSS","MATCHED","120","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","ReportedSystemCompSalesCY","Top","Top","Aggregated","Top","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","42"
"th-cus","kpi","NRG","MATCHED","120","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","SystemNRG","Top","Top","Aggregated","Top","Top","TH C&US","FPA_Reporting","Top","StoreTypes_Reporting","Top","Top","42"
"th-cus","kpi","Unit %","CALCULATED","0","(derived: Unit %)","","","","","","","","","","","","","","","","0"
"th-cus","kpi","SWSG","CALCULATED","0","(derived: SWSG)","","","","","","","","","","","","","","","","0"
"th-cus","kpi","Segment AOI","MATCHED","100","Services AOI - AOI - LOB_Services_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_Services_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","841"
"th-cus","kpi","AOIG","CALCULATED","0","(derived: AOIG)","","","","","","","","","","","","","","","","0"
"th-cus","kpiDetails","SST","MATCHED","120","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","ReportedSystemCompTrafficCY","Top","Top","Aggregated","Top","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","42"
"th-cus","kpiDetails","SSS","MATCHED","120","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","ReportedSystemCompSalesCY","Top","Top","Aggregated","Top","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","42"
"th-cus","kpiDetails","NRG","MATCHED","120","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","SystemNRG","Top","Top","Aggregated","Top","Top","TH C&US","FPA_Reporting","Top","StoreTypes_Reporting","Top","Top","42"
"th-cus","kpiDetails","Unit %","CALCULATED","0","(derived: Unit %)","","","","","","","","","","","","","","","","0"
"th-cus","kpiDetails","SWSG","CALCULATED","0","(derived: SWSG)","","","","","","","","","","","","","","","","0"
"th-cus","kpiDetails","Segment AOI","MATCHED","100","Services AOI - AOI - LOB_Services_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_Services_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","841"
"th-cus","kpiDetails","AOIG","CALCULATED","0","(derived: AOIG)","","","","","","","","","","","","","","","","0"
"th-cus","flowthrough","FZ Sales","MATCHED","134","FZ Sales - TotalFzAndOASales - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","TotalFzAndOASales","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","flowthrough","Royalty Rate %","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","flowthrough","Royalties","MATCHED","134","Royalties - RoyaltiesNet - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","RoyaltiesNet","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","flowthrough","FZ & Other Fees","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","flowthrough","FZ Bad Debt","MATCHED","134","FZ Bad Debt - BadDebt_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","BadDebt_FPA","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","flowthrough","Property","MATCHED","74","Property AOI - AOI - Property_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","AOI","Top","Top","Aggregated","Property_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","flowthrough","Ad Fund","MATCHED","74","Ad Fund AOI - AOI - LOB_MAA_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","AOI","Top","Top","Aggregated","LOB_MAA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","flowthrough","Company","MATCHED","74","Company Ad AOI - AOI - LOB_Company_Advertising","RestaurantBrandsIntlMNGT_CAD","Budget","Periodic","AOI","Top","Top","Aggregated","LOB_Company_Advertising","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","250"
"th-cus","flowthrough","CPG","MATCHED","134","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Actual","YTD","AOI","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","265"
"th-cus","flowthrough","Supply Chain","MATCHED","134","rollup(TH C&US)","RestaurantBrandsIntlMNGT","Fcst_0210_Planrate","Periodic","AOI","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","250"
"th-cus","flowthrough","Other LOBs","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","flowthrough","Segment G&A","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","flowthrough","Other Corp","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
